C1:1
C2:1
C3:1
C4:1
C5:1
C7:1
C9:1
D2:1
L1:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R2:1
R3:1
R4:1
R7:1
R9:1
SC1:1
SNS_BOT1:1
SNS_MID1:1
SNS_TOP1:1
TP1:1
U1:1
U3:1
Y1:1
